State      Area_Name                       POP_ESTIMATE_2019   
CO         San Juan County                                  728
CO         San Miguel County                               8179
CO         Sedgwick County                                 2248
CO         Summit County                                  31011
CO         Teller County                                  25388
CO         Washington County                               4908
CO         Weld County                                   324492
CO         Yuma County                                    10019
CT         Connecticut                                  3565287
CT         Fairfield County                              943332
CT         Hartford County                               891720
CT         Litchfield County                             180333
CT         Middlesex County                              162436
CT         New Haven County                              854757
CT         New London County                             265206
CT         Tolland County                                150721
CT         Windham County                                116782
DE         Delaware                                      973764
DE         Kent County                                   180786
DE         New Castle County                             558753
DE         Sussex County                                 234225
DC         District of Columbia                          705749
DC         District of Columbia                          705749
FL         Florida                                     21477737
FL         Alachua County                                269043
FL         Baker County                                   29210
FL         Bay County                                    174705
FL         Bradford County                                28201
FL         Brevard County                                601942
FL         Broward County                               1952778
FL         Calhoun County                                 14105
FL         Charlotte County                              188910
FL         Citrus County                                 149657
FL         Clay County                                   219252
FL         Collier County                                384902
FL         Columbia County                                71686
FL         DeSoto County                                  38001
FL         Dixie County                                   16826
FL         Duval County                                  957755
FL         Escambia County                               318316
FL         Flagler County                                115081
FL         Franklin County                                12125
FL         Gadsden County                                 45660
FL         Gilchrist County                               18582
FL         Glades County                                  13811
FL         Gulf County                                    13639
FL         Hamilton County                                14428
FL         Hardee County                                  26937
FL         Hendry County                                  42022
FL         Hernando County                               193920
FL         Highlands County                              106221
FL         Hillsborough County                          1471968
FL         Holmes County                                  19617
FL         Indian River County                           159923
FL         Jackson County                                 46414
FL         Jefferson County                               14246
FL         Lafayette County                                8422
FL         Lake County                                   367118
FL         Lee County                                    770577
FL         Leon County                                   293582
FL         Levy County                                    41503
FL         Liberty County                                  8354
FL         Madison County                                 18493
FL         Manatee County                                403253
FL         Marion County                                 365579
FL         Martin County                                 161000
FL         Miami-Dade County                            2716940
FL         Monroe County                                  74228
FL         Nassau County                                  88625
FL         Okaloosa County                               210738
FL         Okeechobee County                              42168
FL         Orange County                                1393452
FL         Osceola County                                375751
FL         Palm Beach County                            1496770
FL         Pasco County                                  553947
FL         Pinellas County                               974996
FL         Polk County                                   724777
FL         Putnam County                                  74521
FL         St. Johns County                              264672
FL         St. Lucie County                              328297
FL         Santa Rosa County                             184313
FL         Sarasota County                               433742
FL         Seminole County                               471826
FL         Sumter County                                 132420
FL         Suwannee County                                44417
FL         Taylor County                                  21569
FL         Union County                                   15237
FL         Volusia County                                553284
FL         Wakulla County                                 33739
FL         Walton County                                  74071
FL         Washington County                              25473
GA         Georgia                                     10617423
GA         Appling County                                 18386
GA         Atkinson County                                 8165
GA         Bacon County                                   11164
GA         Baker County                                    3038
GA         Baldwin County                                 44890
GA         Banks County                                   19234
GA         Barrow County                                  83240
GA         Bartow County                                 107738
GA         Ben Hill County                                16700
GA         Berrien County                                 19397
GA         Bibb County                                   153159
GA         Bleckley County                                12873
GA         Brantley County                                19109
GA         Brooks County                                  15457
GA         Bryan County                                   39627
GA         Bulloch County                                 79608
GA         Burke County                                   22383
GA         Butts County                                   24936
GA         Calhoun County                                  6189
GA         Camden County                                  54666
GA         Candler County                                 10803
GA         Carroll County                                119992
GA         Catoosa County                                 67580
GA         Charlton County                                13392
GA         Chatham County                                289430
GA         Chattahoochee County                           10907
GA         Chattooga County                               24789
GA         Cherokee County                               258773
GA         Clarke County                                 128331
GA         Clay County                                     2834
GA         Clayton County                                292256
GA         Clinch County                                   6618
GA         Cobb County                                   760141
GA         Coffee County                                  43273
GA         Colquitt County                                45600
GA         Columbia County                               156714
GA         Cook County                                    17270
GA         Coweta County                                 148509
GA         Crawford County                                12404
GA         Crisp County                                   22372
GA         Dade County                                    16116
GA         Dawson County                                  26108
GA         Decatur County                                 26404
GA         DeKalb County                                 759297
GA         Dodge County                                   20605
GA         Dooly County                                   13390
GA         Dougherty County                               87956
GA         Douglas County                                146343
GA         Early County                                   10190
GA         Echols County                                   4006
GA         Effingham County                               64296
GA         Elbert County                                  19194
GA         Emanuel County                                 22646
GA         Evans County                                   10654
GA         Fannin County                                  26188
GA         Fayette County                                114421
GA         Floyd County                                   98498
GA         Forsyth County                                244252
GA         Franklin County                                23349
GA         Fulton County                                1063937
GA         Gilmer County                                  31369
GA         Glascock County                                 2971
GA         Glynn County                                   85292
GA         Gordon County                                  57963
GA         Grady County                                   24633
GA         Greene County                                  18324
GA         Gwinnett County                               936250
GA         Habersham County                               45328
GA         Hall County                                   204441
GA         Hancock County                                  8457
GA         Haralson County                                29792
GA         Harris County                                  35236
GA         Hart County                                    26205
GA         Heard County                                   11923
GA         Henry County                                  234561
GA         Houston County                                157863
GA         Irwin County                                    9416
GA         Jackson County                                 72977
GA         Jasper County                                  14219
GA         Jeff Davis County                              15115
GA         Jefferson County                               15362
GA         Jenkins County                                  8676
GA         Johnson County                                  9643
GA         Jones County                                   28735
GA         Lamar County                                   19077
GA         Lanier County                                  10423
GA         Laurens County                                 47546
GA         Lee County                                     29992
GA         Liberty County                                 61435
GA         Lincoln County                                  7921
GA         Long County                                    19559
GA         Lowndes County                                117406
GA         Lumpkin County                                 33610
GA         McDuffie County                                21312
GA         McIntosh County                                14378
GA         Macon County                                   12947
GA         Madison County                                 29880
GA         Marion County                                   8359
GA         Meriwether County                              21167
GA         Miller County                                   5718
GA         Mitchell County                                21863
GA         Monroe County                                  27578
GA         Montgomery County                               9172
GA         Morgan County                                  19276
GA         Murray County                                  40096
GA         Muscogee County                               195769
GA         Newton County                                 111744
GA         Oconee County                                  40280
GA         Oglethorpe County                              15259
GA         Paulding County                               168667
GA         Peach County                                   27546
GA         Pickens County                                 32591
GA         Pierce County                                  19465
GA         Pike County                                    18962
GA         Polk County                                    42613
GA         Pulaski County                                 11137
GA         Putnam County                                  22119
GA         Quitman County                                  2299
GA         Rabun County                                   17137
GA         Randolph County                                 6778
GA         Richmond County                               202518
GA         Rockdale County                                90896
GA         Schley County                                   5257
GA         Screven County                                 13966
GA         Seminole County                                 8090
GA         Spalding County                                66703
GA         Stephens County                                25925
GA         Stewart County                                  6621
GA         Sumter County                                  29524
GA         Talbot County                                   6195
GA         Taliaferro County                               1537
GA         Tattnall County                                25286
GA         Taylor County                                   8020
GA         Telfair County                                 15860
GA         Terrell County                                  8531
GA         Thomas County                                  44451
GA         Tift County                                    40644
GA         Toombs County                                  26830
GA         Towns County                                   12037
GA         Treutlen County                                 6901
GA         Troup County                                   69922
GA         Turner County                                   7985
GA         Twiggs County                                   8120
GA         Union County                                   24511
GA         Upson County                                   26320
GA         Walker County                                  69761
GA         Walton County                                  94593
GA         Ware County                                    35734
GA         Warren County                                   5254
GA         Washington County                              20374
GA         Wayne County                                   29927
GA         Webster County                                  2607
GA         Wheeler County                                  7855
GA         White County                                   30798
GA         Whitfield County                              104628
GA         Wilcox County                                   8635
GA         Wilkes County                                   9777
GA         Wilkinson County                                8954
GA         Worth County                                   20247
HI         Hawaii                                       1415872
HI         Hawaii County                                 201513
HI         Honolulu County                               974563
HI         Kalawao County                                    86
HI         Kauai County                                   72293
HI         Maui County                                   167417
ID         Idaho                                        1787065
ID         Ada County                                    481587
ID         Adams County                                    4294
ID         Bannock County                                 87808
ID         Bear Lake County                                6125
ID         Benewah County                                  9298
ID         Bingham County                                 46811
ID         Blaine County                                  23021
ID         Boise County                                    7831
ID         Bonner County                                  45739
ID         Bonneville County                             119062
ID         Boundary County                                12245
ID         Butte County                                    2597
ID         Camas County                                    1106
ID         Canyon County                                 229849
ID         Caribou County                                  7155
ID         Cassia County                                  24030
ID         Clark County                                     845
ID         Clearwater County                               8756
ID         Custer County                                   4315
ID         Elmore County                                  27511
ID         Franklin County                                13876
ID         Fremont County                                 13099
ID         Gem County                                     18112
ID         Gooding County                                 15179
ID         Idaho County                                   16667
ID         Jefferson County                               29871
ID         Jerome County                                  24412
ID         Kootenai County                               165697
ID         Latah County                                   40108
ID         Lemhi County                                    8027
ID         Lewis County                                    3838
ID         Lincoln County                                  5366
ID         Madison County                                 39907
ID         Minidoka County                                21039
ID         Nez Perce County                               40408
ID         Oneida County                                   4531
ID         Owyhee County                                  11823
ID         Payette County                                 23951
ID         Power County                                    7681
ID         Shoshone County                                12882
ID         Teton County                                   12142
ID         Twin Falls County                              86878
ID         Valley County                                  11392
ID         Washington County                              10194
IL         Illinois                                    12671821
IL         Adams County                                   65435
IL         Alexander County                                5761
IL         Bond County                                    16426
IL         Boone County                                   53544
IL         Brown County                                    6578
IL         Bureau County                                  32628
IL         Calhoun County                                  4739
IL         Carroll County                                 14305
IL         Cass County                                    12147
IL         Champaign County                              209689
IL         Christian County                               32304
IL         Clark County                                   15441
IL         Clay County                                    13184
IL         Clinton County                                 37562
IL         Coles County                                   50621
IL         Cook County                                  5150233
IL         Crawford County                                18667
IL         Cumberland County                              10766
IL         DeKalb County                                 104897
IL         De Witt County                                 15638
IL         Douglas County                                 19465
IL         DuPage County                                 922921
IL         Edgar County                                   17161
IL         Edwards County                                  6395
IL         Effingham County                               34008
IL         Fayette County                                 21336
IL         Ford County                                    12961
IL         Franklin County                                38469
IL         Fulton County                                  34340
IL         Gallatin County                                 4828
IL         Greene County                                  12969
IL         Grundy County                                  51054
IL         Hamilton County                                 8116
IL         Hancock County                                 17708
IL         Hardin County                                   3821
IL         Henderson County                                6646
IL         Henry County                                   48913
IL         Iroquois County                                27114
IL         Jackson County                                 56750
IL         Jasper County                                   9610
IL         Jefferson County                               37684
IL         Jersey County                                  21773
IL         Jo Daviess County                              21235
IL         Johnson County                                 12417
IL         Kane County                                   532403
IL         Kankakee County                               109862
IL         Kendall County                                128990
IL         Knox County                                    49699
IL         Lake County                                   696535
IL         LaSalle County                                108669
IL         Lawrence County                                15678
IL         Lee County                                     34096
IL         Livingston County                              35648
IL         Logan County                                   28618
IL         McDonough County                               29682
IL         McHenry County                                307774
IL         McLean County                                 171517
IL         Macon County                                  104009
IL         Macoupin County                                44926
IL         Madison County                                262966
IL         Marion County                                  37205
IL         Marshall County                                11438
IL         Mason County                                   13359
IL         Massac County                                  13772
IL         Menard County                                  12196
IL         Mercer County                                  15437
IL         Monroe County                                  34637
IL         Montgomery County                              28414
IL         Morgan County                                  33658
IL         Moultrie County                                14501
IL         Ogle County                                    50643
IL         Peoria County                                 179179
IL         Perry County                                   20916
IL         Piatt County                                   16344
IL         Pike County                                    15561
IL         Pope County                                     4177
IL         Pulaski County                                  5335
IL         Putnam County                                   5739
IL         Randolph County                                31782
IL         Richland County                                15513
IL         Rock Island County                            141879
IL         St. Clair County                              259686
IL         Saline County                                  23491
IL         Sangamon County                               194672
IL         Schuyler County                                 6768
IL         Scott County                                    4951
IL         Shelby County                                  21634
IL         Stark County                                    5342
IL         Stephenson County                              44498
IL         Tazewell County                               131803
IL         Union County                                   16653
IL         Vermilion County                               75758
IL         Wabash County                                  11520
